"indID","sex","broodID","year","hatch_size","par_load","relative_par_load","period","BB","BUVC","YB","YUVC","YC"
"3661246","M","pir126","2011",6,31,5.17,"F","21.049016","0.364522",11.963382,0.255514,0.948591
"4275670","M","pir38","2009",6,36,6,"F","18.373357","0.341622",16.16584,0.228372,0.682233
"4736037","M","pir129","2004",5,31,6.2,"F","7.711568","0.331535",18.215032,0.207713,0.485504
"4736711","M","pir80","2005",6,35,5.83,"F","20.974583","0.332385",17.100647,0.212687,0.934768
"4736756","F","pir72","2005",7,7,1,"F","11.998444","0.352087",20.723003,0.161904,0.78814
"4736761","M","pir96","2005",7,20,2.86,"F","15.584327","0.358507",16.080605,0.204461,0.71031
"4736782","F","pir129","2005",7,89,12.71,"F","16.031003","0.311278",17.40918,0.182231,0.764787
"4958001","M","pir62","2004",7,33,4.71,"F","20.849352","0.329993",16.399972,0.198033,0.753277
"4958003","M","pir62","2004",7,33,4.71,"F","14.298526","0.350936",13.64458,0.20832,0.503399
"4958005","F","pir62","2004",7,33,4.71,"F","11.647643","0.300402",18.710302,0.204383,0.713223
"4959858","M","pir28","2005",8,53,6.62,"F","20.098975","0.352908",18.468193,0.187336,0.782649
"4959859","M","pir28","2005",8,53,6.62,"F","18.757701","0.354408",15.036089,0.214091,0.94098
"4960478","F","pir53","2005",6,91,15.17,"F","15.602464","0.293703",10.809879,0.206903,0.867891
"4960801","F","pir202","2005",7,54,7.71,"F","8.429001","0.311908",16.924978,0.213733,0.638399
"4960809","F","pir78","2005",6,105,17.5,"F","9.521408","0.298977",14.277276,0.200013,0.714726
"4961533","F","pir95","2004",5,0,0,"F","6.61962","0.376496",16.821462,0.19492,0.511128
"4961861","M","pir71","2005",4,62,15.5,"F","9.660813","0.376589",12.375002,0.20569,0.806121
"4961864","F","pir71","2005",4,62,15.5,"F","17.511109","0.310632",18.802909,0.190975,0.688669
"4961938","M","pir127","2004",7,36,5.14,"F","13.519493","0.33794",18.787095,0.188055,0.7339
"4961958","F","pir65","2004",7,50,7.14,"F","10.078136","0.298778",20.9502,0.213897,0.673213
"5116884","M","pir48","2006",6,60,10,"F","13.220152","0.38299",16.287274,0.192688,0.940898
"5117313","M","pir5","2006",9,88,9.78,"F","10.867206","0.439738",15.670809,0.194138,0.735973
"5535875","F","pir133","2008",5,44,8.8,"F","15.273661","0.365295",14.049744,0.193066,0.989741
"5545346","M","pir202","2009",7,46,6.57,"F","12.686315","0.356418",17.304562,0.212534,0.778203
"5545392","F","pir59","2009",6,47,7.83,"F","13.108686","0.288147",18.753168,0.197311,0.73833
"5563590","F","pir43","2007",9,33,3.67,"F","9.538079","0.337771",10.717005,0.210357,1.0012
"5597675","F","pir133","2009",8,43,5.38,"F","15.810933","0.301676",15.253021,0.199379,0.77311
"5597793","F","pir158","2010",6,23,3.83,"F","15.144177","0.335772",15.986415,0.198377,0.840623
"5994607","F","pir66","2009",6,94,15.67,"F",NA,NA,19.529659,0.208002,0.664104
"6000615","F","pir49","2010",7,45,6.43,"F","8.152603","0.27222",10.425001,0.191129,0.679344
"6000628","M","pir60","2010",7,86,12.29,"C","8.338239","0.400554",12.723159,0.240029,0.731616
"6000668","M","pir157","2010",7,52,7.43,"F","12.657388","0.30871",14.387931,0.159944,0.853563
"6000911","M","pir153","2010",7,71,10.14,"F","12.376616","0.356227",11.046651,0.219167,1.071177
"6000918","M","pir202","2010",7,42,6,"F","4.765194","0.354084",10.826182,0.191224,1.008299
"6000920","F","pir202","2010",7,42,6,"F","12.923447","0.309787",20.922565,0.213388,0.535745
